/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[38;5;247mic[39m[38;5;245m|[39m[38;5;245m [39m[38;5;36m'[39m[38;5;36mtest in MLPHead[39m[38;5;36m'[39m[38;5;245m,[39m[38;5;245m [39m[38;5;247mtest[39m[38;5;245m:[39m[38;5;245m [39m[38;5;100mFalse[39m
Loaded model from /workspace/VideoAlignment_forked/result/tennis_carl/checkpoints/checkpoint_epoch_00299.pth (epoch 299)
Device: cuda
/workspace/Motion_Instruction_Generation/alignment/coachme_carl_embedding/extract_embeddings_and_align.py:72: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.no_grad(), torch.cuda.amp.autocast():
[1/1116] p10_fvolley_s1.avi: 73fr -> aligned [0-72], expert [0-59], path_len=77, norm_cost=0.2092
[2/1116] p10_fvolley_s2.avi: 81fr -> aligned [0-80], expert [0-59], path_len=81, norm_cost=0.2344
[3/1116] p10_fvolley_s3.avi: 77fr -> aligned [0-76], expert [0-59], path_len=77, norm_cost=0.3098
[4/1116] p11_fvolley_s1.avi: 81fr -> aligned [0-80], expert [0-59], path_len=81, norm_cost=0.0842
[5/1116] p11_fvolley_s2.avi: 64fr -> aligned [0-63], expert [0-59], path_len=75, norm_cost=0.1573
[6/1116] p11_fvolley_s3.avi: 73fr -> aligned [0-72], expert [0-59], path_len=74, norm_cost=0.1374
[7/1116] p12_fvolley_s1.avi: 58fr -> aligned [0-57], expert [0-59], path_len=64, norm_cost=0.2714
[8/1116] p12_fvolley_s2.avi: 51fr -> aligned [0-50], expert [0-59], path_len=60, norm_cost=0.1743
[9/1116] p12_fvolley_s3.avi: 51fr -> aligned [0-50], expert [0-59], path_len=61, norm_cost=0.1363
[10/1116] p13_fvolley_s1.avi: 96fr -> aligned [0-95], expert [0-59], path_len=96, norm_cost=0.4229
[11/1116] p13_fvolley_s2.avi: 78fr -> aligned [0-77], expert [0-59], path_len=79, norm_cost=0.6843
[12/1116] p13_fvolley_s3.avi: 95fr -> aligned [0-94], expert [0-59], path_len=95, norm_cost=0.5771
[13/1116] p14_fvolley_s1.avi: 83fr -> aligned [0-82], expert [0-59], path_len=87, norm_cost=0.1700
[14/1116] p14_fvolley_s2.avi: 78fr -> aligned [0-77], expert [0-59], path_len=78, norm_cost=0.1823
[15/1116] p14_fvolley_s3.avi: 75fr -> aligned [0-74], expert [0-59], path_len=81, norm_cost=0.2464
[16/1116] p15_fvolley_s1.avi: 65fr -> aligned [0-64], expert [0-59], path_len=70, norm_cost=0.1302
[17/1116] p15_fvolley_s2.avi: 63fr -> aligned [0-62], expert [0-59], path_len=69, norm_cost=0.0753
