id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_backhand2h_s1.npy,backhand2h,p10,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p10_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p10_backhand2h_s1.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p10_backhand2h_s2.npy,backhand2h,p10,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p10_backhand2h_s2.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p10_backhand2h_s2.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p10_backhand2h_s3.npy,backhand2h,p10,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p10_backhand2h_s3.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p10_backhand2h_s3.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p11_backhand2h_s1.npy,backhand2h,p11,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p11_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p11_backhand2h_s1.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p11_backhand2h_s2.npy,backhand2h,p11,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p11_backhand2h_s2.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p11_backhand2h_s2.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p11_backhand2h_s3.npy,backhand2h,p11,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p11_backhand2h_s3.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p11_backhand2h_s3.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p12_backhand2h_s1.npy,backhand2h,p12,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p12_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p12_backhand2h_s1.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p12_backhand2h_s2.npy,backhand2h,p12,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p12_backhand2h_s2.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p12_backhand2h_s2.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p12_backhand2h_s3.npy,backhand2h,p12,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p12_backhand2h_s3.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p12_backhand2h_s3.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
p13_backhand2h_s1.npy,backhand2h,p13,beginner,p32_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/beginner/p13_backhand2h_s1.npy,/workspace/dataset/skeleton_output/backhand2hands_skeleton/experts/p32_backhand2h_s1.npy,/workspace/dataset/VIDEO_RGB/backhand2hands/beginner/p13_backhand2h_s1.avi,/workspace/dataset/VIDEO_RGB/backhand2hands/experts/p32_backhand2h_s1.avi
