id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_backhand_s1.npy,backhand,p10,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p10_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p10_backhand_s1.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p10_backhand_s2.npy,backhand,p10,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p10_backhand_s2.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p10_backhand_s2.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p10_backhand_s3.npy,backhand,p10,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p10_backhand_s3.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p10_backhand_s3.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p11_backhand_s1.npy,backhand,p11,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p11_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p11_backhand_s1.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p11_backhand_s2.npy,backhand,p11,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p11_backhand_s2.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p11_backhand_s2.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p11_backhand_s3.npy,backhand,p11,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p11_backhand_s3.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p11_backhand_s3.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p12_backhand_s1.npy,backhand,p12,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p12_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p12_backhand_s1.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p12_backhand_s2.npy,backhand,p12,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p12_backhand_s2.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p12_backhand_s2.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p12_backhand_s3.npy,backhand,p12,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p12_backhand_s3.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p12_backhand_s3.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p13_backhand_s1.npy,backhand,p13,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p13_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p13_backhand_s1.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p13_backhand_s2.npy,backhand,p13,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p13_backhand_s2.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p13_backhand_s2.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p13_backhand_s3.npy,backhand,p13,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p13_backhand_s3.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p13_backhand_s3.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p14_backhand_s1.npy,backhand,p14,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p14_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p14_backhand_s1.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p14_backhand_s2.npy,backhand,p14,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p14_backhand_s2.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p14_backhand_s2.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p14_backhand_s3.npy,backhand,p14,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p14_backhand_s3.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p14_backhand_s3.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
p15_backhand_s1.npy,backhand,p15,beginner,p32_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/beginner/p15_backhand_s1.npy,/workspace/dataset/skeleton_output/backhand_skeleton/experts/p32_backhand_s1.npy,/workspace/dataset/VIDEO_RGB/backhand/beginner/p15_backhand_s1.avi,/workspace/dataset/VIDEO_RGB/backhand/experts/p32_backhand_s1.avi
