id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_bslice_s1.npy,bslice,p10,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p10_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p10_bslice_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p10_bslice_s2.npy,bslice,p10,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p10_bslice_s2.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p10_bslice_s2.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p10_bslice_s3.npy,bslice,p10,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p10_bslice_s3.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p10_bslice_s3.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p11_bslice_s1.npy,bslice,p11,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p11_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p11_bslice_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p11_bslice_s2.npy,bslice,p11,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p11_bslice_s2.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p11_bslice_s2.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p11_bslice_s3.npy,bslice,p11,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p11_bslice_s3.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p11_bslice_s3.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p12_bslice_s1.npy,bslice,p12,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p12_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p12_bslice_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p12_bslice_s2.npy,bslice,p12,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p12_bslice_s2.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p12_bslice_s2.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p12_bslice_s3.npy,bslice,p12,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p12_bslice_s3.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p12_bslice_s3.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
p13_bslice_s1.npy,bslice,p13,beginner,p32_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/beginner/p13_bslice_s1.npy,/workspace/dataset/skeleton_output/backhand_slice_skeleton/experts/p32_bslice_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_slice/beginner/p13_bslice_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_slice/experts/p32_bslice_s1.avi
