id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_bvolley_s1.npy,bvolley,p10,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p10_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p10_bvolley_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p10_bvolley_s2.npy,bvolley,p10,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p10_bvolley_s2.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p10_bvolley_s2.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p10_bvolley_s3.npy,bvolley,p10,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p10_bvolley_s3.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p10_bvolley_s3.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p11_bvolley_s1.npy,bvolley,p11,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p11_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p11_bvolley_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p11_bvolley_s2.npy,bvolley,p11,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p11_bvolley_s2.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p11_bvolley_s2.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p11_bvolley_s3.npy,bvolley,p11,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p11_bvolley_s3.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p11_bvolley_s3.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p12_bvolley_s1.npy,bvolley,p12,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p12_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p12_bvolley_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p12_bvolley_s2.npy,bvolley,p12,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p12_bvolley_s2.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p12_bvolley_s2.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p12_bvolley_s3.npy,bvolley,p12,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p12_bvolley_s3.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p12_bvolley_s3.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
p13_bvolley_s1.npy,bvolley,p13,beginner,p32_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/beginner/p13_bvolley_s1.npy,/workspace/dataset/skeleton_output/backhand_volley_skeleton/experts/p32_bvolley_s1.npy,/workspace/dataset/VIDEO_RGB/backhand_volley/beginner/p13_bvolley_s1.avi,/workspace/dataset/VIDEO_RGB/backhand_volley/experts/p32_bvolley_s1.avi
