id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p11_foreflat_s2.npy,foreflat,p11,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p11_foreflat_s2.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p11_foreflat_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p11_foreflat_s3.npy,foreflat,p11,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p11_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p11_foreflat_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p12_foreflat_s1.npy,foreflat,p12,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p12_foreflat_s1.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p12_foreflat_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p12_foreflat_s2.npy,foreflat,p12,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p12_foreflat_s2.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p12_foreflat_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p12_foreflat_s3.npy,foreflat,p12,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p12_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p12_foreflat_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p13_foreflat_s1.npy,foreflat,p13,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p13_foreflat_s1.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p13_foreflat_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p13_foreflat_s2.npy,foreflat,p13,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p13_foreflat_s2.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p13_foreflat_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p13_foreflat_s3.npy,foreflat,p13,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p13_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p13_foreflat_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p14_foreflat_s1.npy,foreflat,p14,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p14_foreflat_s1.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p14_foreflat_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
p14_foreflat_s2.npy,foreflat,p14,beginner,p34_foreflat_s3.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/beginner/p14_foreflat_s2.npy,/workspace/dataset/skeleton_output/forehand_flat_skeleton/experts/p34_foreflat_s3.npy,/workspace/dataset/VIDEO_RGB/forehand_flat/beginner/p14_foreflat_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_flat/experts/p34_foreflat_s3.avi
