id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_foreopen_s1.npy,foreopen,p10,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p10_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p10_foreopen_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p10_foreopen_s2.npy,foreopen,p10,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p10_foreopen_s2.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p10_foreopen_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p10_foreopen_s3.npy,foreopen,p10,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p10_foreopen_s3.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p10_foreopen_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p11_foreopen_s1.npy,foreopen,p11,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p11_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p11_foreopen_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p11_foreopen_s2.npy,foreopen,p11,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p11_foreopen_s2.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p11_foreopen_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p11_foreopen_s3.npy,foreopen,p11,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p11_foreopen_s3.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p11_foreopen_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p12_foreopen_s1.npy,foreopen,p12,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p12_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p12_foreopen_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p12_foreopen_s2.npy,foreopen,p12,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p12_foreopen_s2.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p12_foreopen_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p12_foreopen_s3.npy,foreopen,p12,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p12_foreopen_s3.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p12_foreopen_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p13_foreopen_s1.npy,foreopen,p13,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p13_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p13_foreopen_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p13_foreopen_s2.npy,foreopen,p13,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p13_foreopen_s2.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p13_foreopen_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p13_foreopen_s3.npy,foreopen,p13,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p13_foreopen_s3.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p13_foreopen_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
p14_foreopen_s1.npy,foreopen,p14,beginner,p32_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/beginner/p14_foreopen_s1.npy,/workspace/dataset/skeleton_output/forehand_openstands_skeleton/experts/p32_foreopen_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_openstands/beginner/p14_foreopen_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_openstands/experts/p32_foreopen_s1.avi
