id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_fvolley_s1.npy,fvolley,p10,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p10_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p10_fvolley_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p10_fvolley_s2.npy,fvolley,p10,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p10_fvolley_s2.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p10_fvolley_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p10_fvolley_s3.npy,fvolley,p10,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p10_fvolley_s3.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p10_fvolley_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p11_fvolley_s1.npy,fvolley,p11,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p11_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p11_fvolley_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p11_fvolley_s2.npy,fvolley,p11,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p11_fvolley_s2.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p11_fvolley_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p11_fvolley_s3.npy,fvolley,p11,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p11_fvolley_s3.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p11_fvolley_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p12_fvolley_s1.npy,fvolley,p12,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p12_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p12_fvolley_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p12_fvolley_s2.npy,fvolley,p12,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p12_fvolley_s2.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p12_fvolley_s2.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p12_fvolley_s3.npy,fvolley,p12,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p12_fvolley_s3.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p12_fvolley_s3.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
p13_fvolley_s1.npy,fvolley,p13,beginner,p32_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/beginner/p13_fvolley_s1.npy,/workspace/dataset/skeleton_output/forehand_volley_skeleton/experts/p32_fvolley_s1.npy,/workspace/dataset/VIDEO_RGB/forehand_volley/beginner/p13_fvolley_s1.avi,/workspace/dataset/VIDEO_RGB/forehand_volley/experts/p32_fvolley_s1.avi
