id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_serkick_s1.npy,serkick,p10,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p10_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p10_serkick_s1.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p10_serkick_s2.npy,serkick,p10,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p10_serkick_s2.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p10_serkick_s2.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p10_serkick_s3.npy,serkick,p10,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p10_serkick_s3.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p10_serkick_s3.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p11_serkick_s1.npy,serkick,p11,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p11_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p11_serkick_s1.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p11_serkick_s2.npy,serkick,p11,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p11_serkick_s2.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p11_serkick_s2.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p11_serkick_s3.npy,serkick,p11,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p11_serkick_s3.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p11_serkick_s3.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p12_serkick_s1.npy,serkick,p12,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p12_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p12_serkick_s1.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p12_serkick_s2.npy,serkick,p12,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p12_serkick_s2.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p12_serkick_s2.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p12_serkick_s3.npy,serkick,p12,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p12_serkick_s3.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p12_serkick_s3.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p13_serkick_s1.npy,serkick,p13,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p13_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p13_serkick_s1.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p13_serkick_s2.npy,serkick,p13,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p13_serkick_s2.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p13_serkick_s2.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p13_serkick_s3.npy,serkick,p13,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p13_serkick_s3.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p13_serkick_s3.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p14_serkick_s1.npy,serkick,p14,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p14_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p14_serkick_s1.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p14_serkick_s2.npy,serkick,p14,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p14_serkick_s2.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p14_serkick_s2.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p14_serkick_s3.npy,serkick,p14,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p14_serkick_s3.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p14_serkick_s3.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
p15_serkick_s1.npy,serkick,p15,beginner,p32_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/beginner/p15_serkick_s1.npy,/workspace/dataset/skeleton_output/kick_service_skeleton/experts/p32_serkick_s1.npy,/workspace/dataset/VIDEO_RGB/kick_service/beginner/p15_serkick_s1.avi,/workspace/dataset/VIDEO_RGB/kick_service/experts/p32_serkick_s1.avi
