id,action,subject,level,inference,beginner_npy_path,inference_npy_path,beginner_avi_path,inference_avi_path
p10_serslice_s1.npy,serslice,p10,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p10_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p10_serslice_s1.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p10_serslice_s2.npy,serslice,p10,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p10_serslice_s2.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p10_serslice_s2.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p10_serslice_s3.npy,serslice,p10,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p10_serslice_s3.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p10_serslice_s3.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p11_serslice_s1.npy,serslice,p11,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p11_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p11_serslice_s1.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p11_serslice_s2.npy,serslice,p11,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p11_serslice_s2.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p11_serslice_s2.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p11_serslice_s3.npy,serslice,p11,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p11_serslice_s3.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p11_serslice_s3.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p12_serslice_s1.npy,serslice,p12,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p12_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p12_serslice_s1.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p12_serslice_s2.npy,serslice,p12,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p12_serslice_s2.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p12_serslice_s2.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p12_serslice_s3.npy,serslice,p12,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p12_serslice_s3.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p12_serslice_s3.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
p13_serslice_s1.npy,serslice,p13,beginner,p32_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/beginner/p13_serslice_s1.npy,/workspace/dataset/skeleton_output/slice_service_skeleton/experts/p32_serslice_s1.npy,/workspace/dataset/VIDEO_RGB/slice_service/beginner/p13_serslice_s1.avi,/workspace/dataset/VIDEO_RGB/slice_service/experts/p32_serslice_s1.avi
